Name,Degree Type,Years of Experience,Speciality,Location,City,DP Score,NPV,Consult Fee
Ms. Dietician Nisha Malhotra,DDPHN,41,Dietetian,Rohini,Delhi,82,33,2500
Ms. Nidhi Sawhney,PGD,7,Dietetian,Gulmohar Park,Delhi,99,819,1500
Ms. Sakshi Kohli,BSc,14,Dietetian,Paschim Vihar,Delhi,97,35,2000
Ms. Divya Gandhi,DNHE,10,Dietetian,Ashok Vihar,Delhi,96,2153,1000
Ms. Umang Behl,PGD,9,Dietetian,Shalimar Bagh,Delhi,96,73,500
Ms. Neeru Dawra,PGDND,8,Dietetian,Rohini Sector 11,Delhi,89,19,300
Ms. Rashmi Srivastava,MSc,50,Dietetian,Malviya Nagar,Delhi,100,40,1000
Ms. Geetika Chopra,MSc,20,Dietetian,Lajpat Nagar III,Delhi,95,37,500
Ms. Ishi Khosla,PG,38,Dietetian,East Of Kailash,Delhi,75,12,5000
Ms. Ritika Samaddar,MSc,25,Dietetian,Saket,Delhi,,,1000
Ms. Nupur Jain,MSc,7,Dietetian,Rana Pratap Bagh,Delhi,,,850
Ms. Komal Sharma,MSc,8,Dietetian,Old Rajendra Nagar,Delhi,,,1000
Ms. Vaishali Choudhary,MSc,7,Dietetian,Old Rajendra Nagar,Delhi,,,1000
Ms. Priyanka Jaiswal,MSc,13,Dietetian,Maharani Bagh,Delhi,95,131,450
Ms. Priya Arya,MSc,6,Dietetian,Chattarpur,Delhi,,,1200
Ms. Medha Kalra,MSc,4,Dietetian,Lajpat Nagar 4,Delhi,100,11,1200
Dr. Akanksha Yadav (PhD),MSc,17,Dietetian,Dwarka Sector 12,Delhi,,,800
Ms. Monisha Ashokan,DNHE,10,Dietetian,Greater Kailash,Delhi,97,64,2000
Dr. Sugeeta Mutreja,MS,24,Dietetian,Dwarka,Delhi,99,291,1000
Ms. Neha Agarwal,MSc,21,Dietetian,Subhash Nagar,Delhi,96,256,1000
Ms. Mansi Nigam,MSc,8,Dietetian,Saket,Delhi,96,49,500
Ms. Avni Kaul,BSc,12,Dietetian,Saket,Delhi,97,39,4000
Ms. Monica Kapur,CFN,12,Dietetian,Pitampura,Delhi,100,42,1000
Ms. Khushboo Sharma,MSc,8,Dietetian,Subhash Nagar,Delhi,,,700
Ms. Shalu Ahuja,DDHN,8,Dietetian,Shalimar Bagh,Delhi,100,122,1000
Ms. Swarn Shikha Sharma,PGD,18,Dietetian,Greater Kailash Part 1,Delhi,,,300
Dr. Rishu Chander Bains,DNHE,13,Dietetian,Dwarka Sector 13,Delhi,,,600
Ms. Sonia Chawla,DNHE,,Dietetian,Ashok Vihar Phase 2,Delhi,,,500
Ms. Stuti Minocha,BSc,12,Dietetian,Shastri Nagar,Delhi,,,500
Dr. S.K. Thakur,MBBS,48,Gastroenterologist,Siri Fort Road,Delhi,88,58,2000
Dr. Rajesh Upadhyay,MBBS,46,Gastroenterologist,Shalimar Bagh,Delhi,90,153,1200
Dr. Avnish Seth,MBBS,42,Gastroenterologist,Dwarka Sector 6,Delhi,66,139,1100
Dr. Sanjeev Kumar Shrivastava,MBBS,35,Gastroenterologist,Patparganj,Delhi,89,157,1000
Dr. Manav Wadhawan,MBBS,23,Gastroenterologist,Pusa Road,Delhi,85,13,1500
Dr. Shailendra Lalwani,MBBS,23,Gastroenterologist,Dwarka Sector 6,Delhi,,,1100
Dr. Sanjiv Saigal,DNB,30,Gastroenterologist,Saket,Delhi,81,16,1500
Dr. Lovkesh Anand,MBBS,19,Gastroenterologist,Dwarka Sector 6,Delhi,78,23,1100
Dr. Suneel Chakravarty,MBBS,18,Gastroenterologist,Saket,Delhi,,,1200
Dr. Neha Berry,MBBS,13,Gastroenterologist,Pusa Road,Delhi,77,13,2200
Dr. Deepak Lahoti,MBBS,34,Gastroenterologist,Patparganj,Delhi,68,75,1300
Dr. Rajneesh Gulati,MBBS,32,Gastroenterologist,Vikas Puri,Delhi,65,144,1000
Dr. Manoj Kumar,MBBS,37,Gastroenterologist,Saket,Delhi,46,56,1200
Dr. Sanjay Khanna,MBBS,31,Gastroenterologist,Rajouri Garden,Delhi,87,79,1500
Dr. Ankit Gupta,DM,17,Gastroenterologist,Shalimar Bagh,Delhi,,,800
Dr. Sourabh Jindal,MS,12,Gastroenterologist,Pitampura,Delhi,,,1000
Dr. Ashwini Chopra,MBBS,50,Gastroenterologist,Safdarjung Enclave,Delhi,,,2500
Dr. Manjit Singh Paul,MBBS,44,Gastroenterologist,Shalimar Bagh,Delhi,92,66,1200
Dr. Sharat Varma,MBBS,18,Gastroenterologist,Patparganj,Delhi,,,1000
Dr. B.P Singh,MBBS,25,Gastroenterologist,Saket,Delhi,53,17,1200
Dr. Ravinder Pal Singh,MBBS,24,Gastroenterologist,Pitampura,Delhi,81,31,1500
Dr. Rohit Goyal,MBBS,24,Gastroenterologist,Dwarka Sector 12,Delhi,80,41,1050
Dr. Naresh Agarwal,MBBS,30,Gastroenterologist,Patparganj,Delhi,54,39,1000
Dr. Pallavi Garg,MBBS,18,Gastroenterologist,Saket,Delhi,90,207,1200
Dr. Saroj Dubey,MBBS,28,Gastroenterologist,Surajmal Vihar,Delhi,96,94,800
Dr. Amrish Sahney,MBBS,17,Gastroenterologist,Pusa Road,Delhi,,,1500
Dr. Amit Jain,MS,20,Gastroenterologist,Patparganj,Delhi,88,217,1000
Dr. Vibhu V Mittal,MBBS,22,Gastroenterologist,Patparganj,Delhi,85,143,1200
Dr. J.C Vij,MBBS,54,Gastroenterologist,Saket,Delhi,85,40,1350
Dr. Ashish Sachan,MBBS,13,Gastroenterologist,Dilshad Garden,Delhi,99,200,1000
Dr. Rohan Mahajan,MBBS,13,Gastroenterologist,Uttam Nagar,Delhi,99,183,1100
Dr. Piyush Gupta,MBBS,14,Gastroenterologist,Punjabi Bagh,Delhi,96,46,1500
Dr. Kaushal Madan,DNB,29,Gastroenterologist,Saket,Delhi,77,13,1700
Dr. Sawan Bopanna,DM,15,Gastroenterologist,Janakpuri,Delhi,91,34,1300
Dr. Ishtkhar Ahmed,MBBS,14,Gastroenterologist,Okhla,Delhi,98,47,700
Dr. Kishan Raj,MBBS,18,Neurologist,Lajpat Nagar,Delhi,,,1200
Dr. Nitin Sethi,MBBS,25,Neurologist,Safdarjung Enclave,Delhi,,,2000
Dr. Atul Prasad,MBBS,39,Neurologist,Pusa Road,Delhi,91,22,2200
Dr. Rajiv Anand,MBBS,45,Neurologist,Pusa Road,Delhi,69,109,2000
Dr. Ramandeep S. Dang,MBBS,29,Neurologist,Greater Kailash Part 1,Delhi,92,324,1500
Dr. Vipin Satija,MBBS,18,Neurologist,Ashok Vihar,Delhi,98,326,1100
Dr. Rohit Bansil,MBBS,16,Neurologist,Pusa Road,Delhi,,,1500
Dr. Varun Rehani,MBBS,12,Neurologist,Pusa Road,Delhi,,,1500
Dr. Col. Joy Dev Mukherji,MBBS,41,Neurologist,Saket,Delhi,94,32,2300
Dr. Puneet Agarwal,DM,31,Neurologist,Saket,Delhi,73,86,2200
Dr. K K Jindal,MBBS,26,Neurologist,Shalimar Bagh,Delhi,83,183,1500
Dr. Shailesh Jain,MBBS,22,Neurologist,Pitampura,Delhi,96,166,1500
Dr. Khushbu Goel,MBBS,17,Neurologist,Dwarka Sector 6,Delhi,94,72,1100
Dr. Anurag Saxena,MBBS,20,Neurologist,Dwarka Sector 6,Delhi,,,1100
Dr. Rajashekar Reddy,MBBS,20,Neurologist,Saket,Delhi,,,2200
Dr. Anand Kumar Saxena,MBBS,35,Neurologist,Dwarka Sector 19,Delhi,80,40,1400
Dr. Mukesh Kumar,MBBS,22,Neurologist,Saket,Delhi,79,14,1800
Dr. Mohit Goel,MBBS,28,Neurologist,Saket,Delhi,,,1200
Dr. L K Malhotra,DM,38,Neurologist,Sheikh Sarai,Delhi,96,114,2000
Dr. Manoj Khanal,MBBS,18,Neurologist,Shalimar Bagh,Delhi,64,14,1500
Dr. Dhruv Zutshi,MBBS,16,Neurologist,East Of Kailash,Delhi,90,41,1000
Dr. Rima khanna,MBBS,16,Neurologist,Punjabi Bagh,Delhi,40,20,1000
Dr. Lovelina Singh,MBBS,17,Neurologist,Saket,Delhi,,,1000
Dr. Amit Batra,MBBS,24,Neurologist,Patparganj,Delhi,88,26,1200
Dr. Kumar Abhinav,MBBS,11,Neurologist,Dwarka,Delhi,,,1000
Dr. Raghav Kapoor,MBBS,7,Neurologist,Safdarjung Enclave,Delhi,,,2000
Dr. Kadam Nagpal,MBBS,18,Neurologist,South Extension 2,Delhi,96,125,1200
Dr. (Lt Gen) CS Narayanan,MBBS,44,Neurologist,Dwarka Sector 6,Delhi,89,191,1100
Dr. Gautam Arora,MBBS,21,Neurologist,Kamla Nagar,Delhi,100,65,1500
Dr. Himank Goyal,MD,11,Neurologist,Ashok Vihar Phase 1,Delhi,92,26,1200
Dr. Vinit Banga,MBBS,12,Neurologist,Pusa Road,Delhi,,,1700
Dr. Abhishek Shridhar,DM,12,Neurologist,Janakpuri,Delhi,,,1000
Dr. Sunilkumar Baranwal,MCh,19,Neurologist,Pitampura,Delhi,68,41,1200
Dr. Rajesh Gupta,MBBS,25,Neurologist,Patparganj,Delhi,88,34,1200
Dr. Amitabh Gupta,MBBS,22,Neurologist,Vasant Kunj,Delhi,88,34,1400
Dr. Vivek Kumar,DM,33,Neurologist,Patparganj,Delhi,,,1400
Dr. Sanjay Saxena,MBBS,25,Neurologist,Patparganj,Delhi,94,17,1500
Dr. Dewaker Sharma,MBBS,21,Neurosurgeon,Lajpat Nagar,Delhi,,,1200
Dr. Vikas Gupta,MS,25,Neurosurgeon,Lajpat Nagar,Delhi,,,1200
Dr. Aditya Singh Bhati,MBBS,20,Neurosurgeon,Safdarjung Enclave,Delhi,,,1200
Dr. Ramandeep S. Dang,MBBS,29,Neurosurgeon,Greater Kailash Part 1,Delhi,92,324,1500
Dr. Amit Gupta,MCh,22,Neurosurgeon,Shalimar Bagh,Delhi,100,25,1000
Dr. Prakash Singh,MBBS,47,Neurosurgeon,Saket,Delhi,,,1200
Dr. V. K. Jain,MBBS,47,Neurosurgeon,Saket,Delhi,83,30,2000
Dr. Rohit Bansil,MBBS,16,Neurosurgeon,Pusa Road,Delhi,,,1500
Dr. Shailesh Jain,MBBS,22,Neurosurgeon,Pitampura,Delhi,96,166,1500
Dr. Anurag Saxena,MBBS,20,Neurosurgeon,Dwarka Sector 6,Delhi,,,1100
Dr. Amitabh Goel,MBBS,34,Neurosurgeon,Patparganj,Delhi,98,56,1500
Dr. Kapil Jain,MBBS,22,Neurosurgeon,Saket,Delhi,100,12,1000
Dr. Arun Saroha,MCh,29,Neurosurgeon,Saket,Delhi,,,1500
Dr. Ashish Gupta,MCh,28,Neurosurgeon,Greater Kailash Part 1,Delhi,92,12,1200
Dr. Sanjeev Dua,MBBS,46,Neurosurgeon,Patparganj,Delhi,91,11,1500
Dr. P K Sachdeva,MBBS,29,Neurosurgeon,Dwarka Sector 12,Delhi,,,1500
Dr. Sumit Goyal,MBBS,19,Neurosurgeon,Defence Colony,Delhi,100,22,1800
Dr. Anil Kansal,MBBS,30,Neurosurgeon,Shalimar Bagh,Delhi,76,29,1500
Dr. Zahid Khan,MBBS,30,Neurosurgeon,Saket,Delhi,,,1000
Dr. Girish Rajpal,MCh,17,Neurosurgeon,Patparganj,Delhi,,,1000
Dr. Bipin S. Walia,MBBS,,Neurosurgeon,Saket,Delhi,,,2000
Dr. Varun Thareja,MS,10,Neurosurgeon,Gujranwala Town,Delhi,,,1500
Dr. Richa Singh,MBBS,23,Neurosurgeon,New Rajendra Nagar,Delhi,86,51,700
Dr. Sunilkumar Baranwal,MCh,19,Neurosurgeon,Pitampura,Delhi,68,41,1200
Dr. Amitabh Gupta,MBBS,22,Neurosurgeon,Vasant Kunj,Delhi,88,34,1400
Dr. Anil Dhar,MBBS,18,Neurosurgeon,Patparganj,Delhi,,,1000
Dr. Vikrant Katiyar,MS,10,Neurosurgeon,Patparganj,Delhi,,,800
Dr. Bipin S Walia,MBBS,40,Neurosurgeon,Saket,Delhi,,,1500
Dr. Sai Kiran Chaudhari,MBBS,28,Pulmonologist,Anand Vihar,Delhi,88,103,700
Dr. Dixit Kumar Thakur,MBBS,11,Pulmonologist,Greater Kailash Part 1,Delhi,100,33,1000
Dr. Anuj Gupta,MBBS,25,Pulmonologist,Munirka,Delhi,97,1091,1250
Dr. Sandeep Nayar,MBBS,33,Pulmonologist,Pusa Road,Delhi,61,28,1700
Dr. Kailash Nath Gupta,MD,29,Pulmonologist,Dwarka,Delhi,93,628,800
Dr. Vikas Mittal,MBBS,23,Pulmonologist,Punjabi Bagh,Delhi,96,118,1000
Dr. Vivek Nangia,MBBS,30,Pulmonologist,Saket,Delhi,72,25,2000
Dr. Ashok Rajput,MD,47,Pulmonologist,Vasant Kunj,Delhi,95,594,1200
Dr. Puneet Khanna,MBBS,23,Pulmonologist,Dwarka Sector 6,Delhi,97,31,1100
Dr. Pankaj Lohia,MBBS,26,Pulmonologist,Pusa Road,Delhi,,,1100
Dr. Sandeep Garg,MBBS,14,Pulmonologist,Shalimar Bagh,Delhi,86,28,900
Dr. R.S Chatterjee,MBBS,44,Pulmonologist,Dwarka Sector 12,Delhi,,,1300
Dr. Ashish Jain,MD,24,Pulmonologist,Saket,Delhi,91,86,1200
Dr. Inder Mohan Chugh,MBBS,32,Pulmonologist,Shalimar Bagh,Delhi,,,2000
Dr. Sunny Kalra,MBBS,19,Pulmonologist,Pusa Road,Delhi,,,1300
Dr. Pawan Gupta,MBBS,21,Pulmonologist,Prashant Vihar,Delhi,85,27,700
Dr. Davinder Kundra,MBBS,18,Pulmonologist,Dwarka Sector 6,Delhi,76,17,1100
Dr. Praveen Kumar Pandey,MD,27,Pulmonologist,Patparganj,Delhi,84,19,1200
Dr. Shekhar Varshney,DNB,15,Pulmonologist,Mayur Vihar Ph-I,Delhi,100,12,700
Dr. Santosh Jha,MBBS,13,Pulmonologist,Malviya Nagar,Delhi,99,239,1200
Dr. Chetan Kumar Gupta,MBBS,25,Pulmonologist,Chattarpur,Delhi,64,28,800
Dr. Kunj Panwar,MBBS,10,Pulmonologist,Rohini Sector 11,Delhi,,,600
Dr. Tarun Sharma,MD,18,Pulmonologist,Saket,Delhi,,,1200
Dr. Shruti Jain,MD,9,Pulmonologist,Shahdara,Delhi,100,19,800
Dr. Priyanka Ch Bindroo,DTCD,21,Pulmonologist,Uttam Nagar,Delhi,,,1000
Dr. Amit Kumar,DNB,7,Pulmonologist,Model Town 3,Delhi,,,800
Dr. Priyanka Aggarwal,MBBS,16,Pulmonologist,Patparganj,Delhi,87,15,1000
Dr. Naveen Kumar Ailawadi,MBBS,16,Pulmonologist,Shalimar Bagh,Delhi,91,23,800
Dr. Nikhil Narayan Bante,MBBS,15,Pulmonologist,East Of Kailash,Delhi,,,1000
Dr. P.C. Kathuria,MBBS,49,Pulmonologist,Pusa Road,Delhi,67,15,1300
Dr. Sumedha Narula,MD,11,Pulmonologist,Dwarka Sector 12,Delhi,100,27,1000
Dr. Susheel Kumar Bindroo,MBBS,20,Pulmonologist,Dwarka Sector 12,Delhi,92,13,1500
Dr. Ajay Lall,MBBS,38,Pulmonologist,Saket,Delhi,55,11,2000
Dr. Shailender Kumar Jain,MBBS,29,Bariatric_Surgeon,Dwarka Sector 23,Delhi,85,55,800
Dr. Nikunj Bansal,MBBS,23,Bariatric_Surgeon,Karol Bagh,Delhi,100,11,800
Dr. Deep Goel,MBBS,33,Bariatric_Surgeon,Pusa Road,Delhi,,,1500
Dr. Pradeep Chowbey,MBBS,49,Bariatric_Surgeon,Saket,Delhi,88,32,1200
Dr. Rajesh Khullar,MBBS,43,Bariatric_Surgeon,Saket,Delhi,,,1000
Dr. Vandana Soni,MBBS,34,Bariatric_Surgeon,Saket,Delhi,100,13,1000
Dr. Sukhvinder Singh Saggu,MBBS,24,Bariatric_Surgeon,Punjabi Bagh,Delhi,94,54,1000
Dr. Arush Sabharwal,MBBS,15,Bariatric_Surgeon,Pusa Road,Delhi,,,850
Dr. Randeep Wadhawan,MBBS,35,Bariatric_Surgeon,Dwarka Sector 6,Delhi,,,1100
Dr. Ravindra Vats,MBBS,24,Bariatric_Surgeon,Pusa Road,Delhi,,,1500
Dr. Ashish Pitale,MBBS,33,Bariatric_Surgeon,Dwarka,Delhi,98,82,700
Dr. Sumeet Shah,MBBS,30,Bariatric_Surgeon,Greater Kailash Part 1,Delhi,,,1200
Dr. Naveen Kumar Verma,MBBS,9,Bariatric_Surgeon,Dwarka Sector 6,Delhi,,,1100
Dr. Pradeep K Dewan,MBBS,44,Bariatric_Surgeon,Patparganj,Delhi,,,1000
Dr. Atul N.C. Peters,MBBS,29,Bariatric_Surgeon,Saket,Delhi,,,2000
Dr. Arun Bhardwaj,MBBS,15,Bariatric_Surgeon,Dwarka Sector 6,Delhi,100,15,1100
Dr. Bhoopendra Prasad,MBBS,22,Bariatric_Surgeon,Sarita Vihar,Delhi,,,1000
Dr. S S Bhagat,MBBS,41,Bariatric_Surgeon,Patparganj,Delhi,,,600
Dr. Sandeep Jain,MBBS,22,Bariatric_Surgeon,Patparganj,Delhi,92,13,800
Dr. Suresh Kumar Abrol,MBBS,44,Bariatric_Surgeon,Shalimar Bagh,Delhi,,,1500
Dr. Ashutosh Jha,MBBS,32,Bariatric_Surgeon,Patparganj,Delhi,,,400
Dr. Jotinder Khanna,MBBS,27,Bariatric_Surgeon,Alaknanda,Delhi,100,35,1000
Dr. Mohit Jain,MBBS,24,Bariatric_Surgeon,Pusa Road,Delhi,98,40,2000
Dr. Gauranga Saikia,MBBS,18,Bariatric_Surgeon,Saket,Delhi,100,87,1000
Dr. Manish Baijal,MBBS,31,Bariatric_Surgeon,Saket,Delhi,,,1000
Dr. Amit Jain,MS,20,Bariatric_Surgeon,Patparganj,Delhi,88,217,1000
Dr. Amit Agarwal,MBBS,21,Bariatric_Surgeon,Subhash Nagar,Delhi,97,34,500
Dr. Harmeet Singh Kapoor,MBBS,36,Bariatric_Surgeon,Pusa Road,Delhi,,,2000
Dr. Ashish Sachan,MBBS,13,Bariatric_Surgeon,Dilshad Garden,Delhi,99,200,1000
Dr. Alok Kalyani,MBBS,25,Rheumatologist,Shalimar Bagh,Delhi,92,25,800
Dr. Prasan Deep Rath,MBBS,24,Rheumatologist,Saket,Delhi,83,36,1700
Dr. Himanshu Aggarwal,DNB,20,Rheumatologist,Patparganj,Delhi,90,42,1400
Dr. Atul Kakar,MBBS,34,Rheumatologist,Old Rajendra Nagar,Delhi,76,58,1500
Dr. (Col.) O P Garg,MBBS,42,Rheumatologist,Dwarka,Delhi,96,513,1000
Dr. Nupoor Acharya,MBBS,11,Rheumatologist,Sheikh Sarai,Delhi,100,11,1000
Dr. Sundeep Kumar Upadhyaya,MBBS,32,Rheumatologist,Sarita Vihar,Delhi,,,2500
Dr. Jatinder Juneja,MBBS,38,Rheumatologist,Bali Nagar,Delhi,90,86,900
Dr. Ved Chaturvedi,MBBS,47,Rheumatologist,Old Rajendra Nagar,Delhi,96,28,2000
Dr. Rohini Handa,MBBS,36,Rheumatologist,Sarita Vihar,Delhi,,,3000
Dr. Sajal Ajmani,MBBS,13,Rheumatologist,Tilak Nagar,Delhi,98,44,1000
Dr. Shaloo Bhasin Gagneja,MBBS,19,Rheumatologist,Janakpuri,Delhi,98,168,600
Dr. Sonal Mehra,MD,18,Rheumatologist,Janakpuri,Delhi,98,245,1500
Dr. Aarti Sharma,MBBS,18,Rheumatologist,Paschim Vihar,Delhi,,,800
Dr. Meha Sharma,DM,16,Rheumatologist,Dwarka Sector 12,Delhi,92,12,700
Dr. Priyanka Kharbanda,MBBS,24,Rheumatologist,Rajouri Garden,Delhi,71,17,1000
Dr. Gaurav Seth,DM,14,Rheumatologist,Janakpuri,Delhi,95,19,800
Dr. Ashish Sharma,MBBS,13,Rheumatologist,Dilshad Garden,Delhi,,,700
Mr. Varun Duggal (Physiotherapist),BPTh/BPT,18,Chiropractor,Kirti Nagar,Delhi,79,92,1000
Ms. Kruti Vora,DC,7,Chiropractor,Punjabi Bagh,Delhi,,,1000
Dr. Khushnoor Alam (PT),FNR,8,Chiropractor,Vasant Kunj,Delhi,,,500
Mr. Shiv Bajaj,DC,15,Chiropractor,Hazrat Nizamuddin,Delhi,85,13,3000
Dr. Manish Kachhara,BDS,22,Dentist,Ghatkopar East,Mumbai,99,381,500
Dr. Sanket Mehta,BDS,19,Dentist,Matunga,Mumbai,99,931,500
Dr. Gautam Laud,BDS,26,Dentist,Kemps Corner,Mumbai,98,322,1000
Dr. Manish S. Sonawane,BDS,19,Dentist,Lokhandwala,Mumbai,98,193,500
Dr. Rajesh Shetty,BDS,28,Dentist,Bandra West,Mumbai,98,464,1000
Dr. Manoj Bodhwani,BDS,18,Dentist,Khar West,Mumbai,98,282,700
Dr. Manisha Mehta,BDS,18,Dentist,Worli,Mumbai,98,1028,500
Dr. Parag M. Khatri,MDS,31,Dentist,Andheri East,Mumbai,99,1236,500
Dr. Nikhil Surana,MDS,15,Dentist,Kandivali East,Mumbai,97,87,500
Dr. Sheel Vora,BDS,19,Dentist,Santacruz West,Mumbai,97,156,500
Dr. Amar Ravjiani,BDS,32,Dentist,Ghatkopar East,Mumbai,98,468,750
Dr. Kavin J. Shah,MDS,15,Dentist,JB Nagar,Mumbai,100,98,500
Dr. Rajendra Sankpal,BDS,32,Dentist,Powai,Mumbai,95,551,600
Dr. Ashitesh Kumar,BDS,13,Dentist,Chembur East,Mumbai,100,226,700
Dr. Rajesh Kamdar,BDS,41,Dentist,Andheri West,Mumbai,98,555,800
Dr. Dipti Gandhi,BDS,40,Dentist,Ghatkopar East,Mumbai,98,129,300
Dr. Sandhya Biyani,BDS,14,Dentist,Bandra West,Mumbai,99,451,500
Dr. Prashant Patel,BDS,27,Dentist,Borivali West,Mumbai,99,485,500
Dr. Priyanka Deshpande,BDS,21,Dentist,Borivali West,Mumbai,99,156,600
Dr. Ajay Thaker,BDS,28,Dentist,Mulund West,Mumbai,99,1406,300
Dr. Swapnil Shah,BDS,35,Dentist,Powai,Mumbai,98,184,500
Dr. Uday B Shetty,BDS,39,Dentist,Dadar West,Mumbai,98,456,500
Dr. Abhishek Ramesh Chauhan,MDS,16,Dentist,Ghatkopar West,Mumbai,94,47,1000
Dr. Ritu Sharma,BDS,14,Dentist,Borivali East,Mumbai,100,130,300
Dr. Shantanu Jambhekar,BDS,17,Dentist,Parel,Mumbai,99,144,500
Dr. Jyoti Narla,BDS,24,Dentist,Powai,Mumbai,96,964,500
Dr. Karanjit Singh Chaudhary,BDS,20,Dentist,Tilak Nagar,Mumbai,100,417,500
Dr. Bhavna Dedhia,BDS,26,Dentist,Ghatkopar East,Mumbai,98,221,300
Dr. Jayna Shah,BDS,35,Dentist,Powai,Mumbai,100,43,500
Dr. Suhas Lele,BDS,43,Dentist,Prabhadevi,Mumbai,98,379,1000
Dr. Rati Chadha,BDS,16,Dentist,Bandra West,Mumbai,99,630,500
Dr. Shailesh Rojekar,MDS,32,Dentist,Prabhadevi,Mumbai,96,162,800
Dr. Amruta Bhalchandra Wadekar,BDS,30,Dentist,Dahisar East,Mumbai,100,413,500
Dr. Manish Purohit,BDS,14,Dentist,Kandivali East,Mumbai,98,288,100
Dr. Zeel N. Mody,BDS,14,Dentist,Ghatkopar West,Mumbai,100,65,300
Dr. Hetal Chheda,BDS,17,Dentist,Borivali West,Mumbai,98,60,400
Dr. Aditi Gaur,MDS,13,Dentist,Mulund West,Mumbai,100,16,300
Dr. Anand Narla,BDS,25,Dentist,Powai,Mumbai,95,232,500
Dr. Burzin Khan,MDS,37,Dentist,Fort,Mumbai,99,623,1000
Dr. Riddhi Mehta,BDS,15,Dentist,Malad West,Mumbai,98,41,400
Dr. Siddarth Naik,BDS,26,Dentist,Chembur,Mumbai,98,196,500
Dr. Sandesh S Kumar,BDS,23,Dentist,Mulund West,Mumbai,98,187,500
Dr. Rikin Gogri,BDS,23,Dentist,Goregaon West,Mumbai,98,287,400
Dr. Devang Shah,BDS,14,Dentist,Kandivali West,Mumbai,97,74,300
Dr. Disha Sanghvi,BDS,16,Dentist,Versova,Mumbai,100,294,500
Dr. Chitrang Thaker,BDS,24,Dentist,Goregaon East,Mumbai,97,702,500
Dr. Nitesh Motwani,BDS,16,Dentist,Andheri West,Mumbai,97,317,400
Dr. Preeti Hooda,BDS,14,Dentist,Kandivali East,Mumbai,100,35,300
Dr. Priyal Virani,BDS,17,Dentist,Mulund West,Mumbai,93,30,400
Dr. Saba Rasool,BDS,24,Dentist,Andheri West,Mumbai,100,47,1000
Dr. Dhruti Raut Chavan,MDS,13,Dentist,Dadar East,Mumbai,98,124,500
Dr. Keyur Mehta,BDS,17,Dentist,Khar West,Mumbai,100,155,1000
Dr. Upasana Gosalia,BDS,15,Dentist,Ghatkopar East,Mumbai,100,495,350
Dr. Girish Shetake,BDS,18,Dentist,Sakinaka,Mumbai,97,292,400
Dr. Sanket Sheth,BDS,17,Dentist,Ghatkopar East,Mumbai,99,387,500
Dr. Shalini Pal,BDS,17,Dentist,Marol,Mumbai,100,42,350
Dr. Gauri Kadam,BDS,20,Dentist,Andheri West,Mumbai,100,174,600
Dr. Gaurav Poplai,BDS,16,Dentist,Bandra West,Mumbai,99,100,500
Dr. Siddhi Dinesh Prabhu,BDS,14,Dentist,Grant Road,Mumbai,100,126,300
Dr. Vivian Varghese,BDS,13,Dentist,Borivali West,Mumbai,100,170,300
Dr. Vividha Singhania,MDS,15,Dentist,Mahim,Mumbai,100,213,500
Dr. Dipika Bharani,BDS,15,Dentist,Vileparle East,Mumbai,99,168,500
Dr. Nishant Gandhi,BDS,18,Dentist,Powai,Mumbai,98,418,600
Dr. Meghal Shah,BDS,18,Dentist,Vileparle East,Mumbai,99,115,400
Dr. Sagar D. Barkade,BDS,18,Dentist,Chembur,Mumbai,99,301,500
Dr. Nisha Jain,BDS,14,Dentist,Mazgaon,Mumbai,95,59,500
Dr. Sonia Anare,BDS,15,Dentist,Parel,Mumbai,100,36,500
Dr. Mohit Solanki,BDS,13,Dentist,Andheri West,Mumbai,98,523,500
Dr. Pankti Shah,BDS,12,Dentist,Kandivali West,Mumbai,99,73,300
Dr. Deval Naik,BDS,20,Dentist,Goregaon West,Mumbai,99,511,500
Dr. Sonali Luthra Gandhi,BDS,13,Dentist,Ghatkopar East,Mumbai,100,61,300
Dr. Jignesh Kothari,BDS,21,Dentist,Santacruz West,Mumbai,97,949,1000
Dr. Nikita Motwani,BDS,12,Dentist,Andheri West,Mumbai,100,230,400
Dr. Abhishek Modi,BDS,12,Dentist,Walkeshwar,Mumbai,100,81,500
Dr. Sagar J Abichandani,BDS,15,Dentist,Chembur,Mumbai,95,61,500
Dr. Bharat Porwal,BDS,31,Dentist,Lower Parel,Mumbai,99,214,500
Dr. Prakash S. Jain,BDS,24,Dentist,Cumballa Hill,Mumbai,99,176,600
Dr. Deepali Bhanushali,BDS,17,Dentist,Ghatkopar,Mumbai,99,135,500
Dr. Pooja Kukreja,BDS,14,Dentist,Khar West,Mumbai,100,85,500
Dr. Parag Shah,BDS,22,Dentist,Ghatkopar East,Mumbai,99,122,900
Dr. Rohan Virani,BDS,18,Dentist,Mulund West,Mumbai,95,512,500
Dr. Varun Parikh,PhD,16,Dentist,Ghatkopar East,Mumbai,99,115,500
Dr. Khushboo Sehgal Chablani,BDS,17,Dentist,Bandra West,Mumbai,99,263,1000
Dr. Jigar Gala,BDS,19,Dentist,Andheri West,Mumbai,96,421,1000
Dr. Amit Majethia,BDS,14,Dentist,Ghatkopar East,Mumbai,100,114,500
Dr. Dharit Gandhi,BDS,13,Dentist,Ghatkopar East,Mumbai,100,148,300
Dr. Ambika Arora,BDS,13,Dentist,Tilak Nagar,Mumbai,100,53,2000
